2 We respectfully invite you to watch a special edition of Across China . ||| B-ARG0 B-ARGM-MNR B-V B-ARG1 B-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 O
2 This map was the Eighth Route Army 's depiction of the Mediterranean Sea situation at that time . ||| B-ARG1 I-ARG1 B-V B-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 O
2 This map reflected the European battlefield situation . ||| B-ARG2 I-ARG2 B-V B-ARG1 I-ARG1 I-ARG1 I-ARG1 O
6 In 1940 , the German army invaded and occupied Czechoslovakia , Poland , the Netherlands , Belgium , and France . ||| B-ARGM-TMP I-ARGM-TMP O B-ARG0 I-ARG0 I-ARG0 B-V O O B-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 O
8 In 1940 , the German army invaded and occupied Czechoslovakia , Poland , the Netherlands , Belgium , and France . ||| B-ARGM-TMP I-ARGM-TMP O B-ARG0 I-ARG0 I-ARG0 O O B-V B-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 O
1 It was during this year that the Japanese army developed a strategy to rapidly force the Chinese people into submission by the end of 1940 . ||| O B-V B-ARG2 I-ARG2 I-ARG2 B-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 O
9 It was during this year that the Japanese army developed a strategy to rapidly force the Chinese people into submission by the end of 1940 . ||| O O B-ARGM-TMP I-ARGM-TMP I-ARGM-TMP B-R-ARGM-TMP B-ARG0 I-ARG0 I-ARG0 B-V B-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 O
14 It was during this year that the Japanese army developed a strategy to rapidly force the Chinese people into submission by the end of 1940 . ||| O O O O O O O O O O B-ARG0 I-ARG0 O B-ARGM-MNR B-V B-ARG1 I-ARG1 I-ARG1 B-ARG2 I-ARG2 B-ARGM-TMP I-ARGM-TMP I-ARGM-TMP I-ARGM-TMP I-ARGM-TMP O
6 In May , the Japanese army launched -- ||| B-ARGM-TMP I-ARGM-TMP O B-ARG0 I-ARG0 I-ARG0 B-V O
5 From one side , it seized an important city in China called Yichang . ||| B-ARGM-DIR I-ARGM-DIR I-ARGM-DIR O B-ARG0 B-V B-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 O
11 From one side , it seized an important city in China called Yichang . ||| O O O O O O B-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 B-V B-ARG2 O
11 Um , , uh , through Yichang , it could directly reach Chongqing . ||| B-ARGM-DIS O O B-ARGM-DIS O B-ARGM-DIR I-ARGM-DIR O B-ARG0 B-ARGM-MOD B-ARGM-MNR B-V B-ARG1 O
3 Ah , that threatened Chongqing . ||| B-ARGM-DIS O B-ARG0 B-V B-ARG2 O
6 Then they would , ah , bomb these large rear areas such as Chongqing . ||| B-ARGM-TMP B-ARG0 B-ARGM-MOD O B-ARGM-DIS O B-V B-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 O
24 So , along with the coordinated , er , economic blockade , military offensives , and strategic bombings , er , a simultaneous attack was launched in Hong Kong to lure the KMT government into surrender . ||| O O O O O O O O O O O O O O O O O O O O O O O O B-V O O O O O O O O O O O O
25 So , along with the coordinated , er , economic blockade , military offensives , and strategic bombings , er , a simultaneous attack was launched in Hong Kong to lure the KMT government into surrender . ||| B-ARGM-DIS O B-ARGM-ADV I-ARGM-ADV I-ARGM-ADV I-ARGM-ADV I-ARGM-ADV I-ARGM-ADV I-ARGM-ADV I-ARGM-ADV I-ARGM-ADV I-ARGM-ADV I-ARGM-ADV I-ARGM-ADV I-ARGM-ADV I-ARGM-ADV I-ARGM-ADV I-ARGM-ADV O B-ARGM-DIS O B-ARG1 I-ARG1 I-ARG1 O B-V B-ARGM-LOC I-ARGM-LOC I-ARGM-LOC B-ARGM-PRP I-ARGM-PRP I-ARGM-PRP I-ARGM-PRP I-ARGM-PRP I-ARGM-PRP I-ARGM-PRP O
30 So , along with the coordinated , er , economic blockade , military offensives , and strategic bombings , er , a simultaneous attack was launched in Hong Kong to lure the KMT government into surrender . ||| O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-V B-ARG1 I-ARG1 I-ARG1 B-ARG2 I-ARG2 O
4 The progress of this coordinated offensive was already very entrenched by then . ||| O O O O B-V B-ARG1 O O O O O O O
6 The progress of this coordinated offensive was already very entrenched by then . ||| B-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 B-V B-ARGM-TMP B-ARG2 I-ARG2 B-ARGM-TMP I-ARGM-TMP O
10 By 1940 , China 's War of Resistance against Japan had entered a stalemate . ||| O O O O O O O O O O B-V O O O O
11 By 1940 , China 's War of Resistance against Japan had entered a stalemate . ||| B-ARGM-TMP I-ARGM-TMP O B-ARG0 I-ARG0 I-ARG0 I-ARG0 I-ARG0 I-ARG0 I-ARG0 O B-V B-ARG1 I-ARG1 O
10 The situation on our side and the enemy 's side was intertwined . ||| O O O O O O O O O O B-V O O
11 The situation on our side and the enemy 's side was intertwined . ||| B-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 O B-V O
5 The Eighth Route Army guerrillas were extraordinarily active , creating more and more trouble for the Japanese army in North China . ||| B-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 B-V B-ARG2 I-ARG2 O B-ARGM-PRD I-ARGM-PRD I-ARGM-PRD I-ARGM-PRD I-ARGM-PRD I-ARGM-PRD I-ARGM-PRD I-ARGM-PRD I-ARGM-PRD I-ARGM-PRD I-ARGM-PRD I-ARGM-PRD O
9 The Eighth Route Army guerrillas were extraordinarily active , creating more and more trouble for the Japanese army in North China . ||| B-ARG0 I-ARG0 I-ARG0 I-ARG0 I-ARG0 O O O O B-V B-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 O
12 Hayao Tada , commander of the Japanese North China Area Army , adopted a strategy of siege warfare to deal with the Eighth Route Army . ||| B-ARG0 I-ARG0 I-ARG0 I-ARG0 I-ARG0 I-ARG0 I-ARG0 I-ARG0 I-ARG0 I-ARG0 I-ARG0 O B-V B-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 B-ARGM-PRP I-ARGM-PRP I-ARGM-PRP I-ARGM-PRP I-ARGM-PRP I-ARGM-PRP I-ARGM-PRP O
19 Hayao Tada , commander of the Japanese North China Area Army , adopted a strategy of siege warfare to deal with the Eighth Route Army . ||| B-ARG0 I-ARG0 I-ARG0 I-ARG0 I-ARG0 I-ARG0 I-ARG0 I-ARG0 I-ARG0 I-ARG0 I-ARG0 O O O O O O O O B-V B-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 O
3 The specific method was building a closely connected transport network , with a road for every village and defensive towers on every road . ||| O O O B-V O O O O O O O O O O O O O O O O O O O O
4 The specific method was building a closely connected transport network , with a road for every village and defensive towers on every road . ||| B-ARG0 I-ARG0 I-ARG0 O B-V B-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 O
7 The specific method was building a closely connected transport network , with a road for every village and defensive towers on every road . ||| O O O O O O B-ARGM-ADV B-V B-ARG1 I-ARG1 O O O O O O O O O O O O O O
3 Roads and railways were used as links to connect all of North China into a solid , widespread siege , in order to strangle the Eighth Route Army and its base areas in this net . ||| O O O B-V O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
4 Roads and railways were used as links to connect all of North China into a solid , widespread siege , in order to strangle the Eighth Route Army and its base areas in this net . ||| B-ARG1 I-ARG1 I-ARG1 O B-V B-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 O B-ARGM-PRP I-ARGM-PRP I-ARGM-PRP I-ARGM-PRP I-ARGM-PRP I-ARGM-PRP I-ARGM-PRP I-ARGM-PRP I-ARGM-PRP I-ARGM-PRP I-ARGM-PRP I-ARGM-PRP I-ARGM-PRP I-ARGM-PRP I-ARGM-PRP O
23 Roads and railways were used as links to connect all of North China into a solid , widespread siege , in order to strangle the Eighth Route Army and its base areas in this net . ||| O O O O O O O O O O O O O O O O O O O O O O O B-V B-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 B-ARGM-LOC I-ARGM-LOC I-ARGM-LOC O
15 As part of the Japanese army 's strategy of siege warfare , railways and roads had actually become the Japanese army 's weapons of war , becoming a great threat to the base areas . ||| O O O O O O O O O O O O O O O B-V O O O O O O O O O O O O O O O O O O O
17 As part of the Japanese army 's strategy of siege warfare , railways and roads had actually become the Japanese army 's weapons of war , becoming a great threat to the base areas . ||| B-ARGM-PRD I-ARGM-PRD I-ARGM-PRD I-ARGM-PRD I-ARGM-PRD I-ARGM-PRD I-ARGM-PRD I-ARGM-PRD I-ARGM-PRD I-ARGM-PRD I-ARGM-PRD O B-ARG1 I-ARG1 I-ARG1 O B-ARGM-ADV B-V B-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 O B-ARGM-ADV I-ARGM-ADV I-ARGM-ADV I-ARGM-ADV I-ARGM-ADV I-ARGM-ADV I-ARGM-ADV I-ARGM-ADV O
26 As part of the Japanese army 's strategy of siege warfare , railways and roads had actually become the Japanese army 's weapons of war , becoming a great threat to the base areas . ||| O O O O O O O O O O O O B-ARG1 I-ARG1 I-ARG1 O O O O O O O O O O O B-V B-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 O
21 In December 1939 , Commander - in - chief Zhu De and Vice Commander Peng Dehuai of the Eighth Route Army received a top - secret telegram from Commander Lu Zhengcao of the Jizhong Military District , among other people . ||| B-ARGM-TMP I-ARGM-TMP I-ARGM-TMP O B-ARG0 I-ARG0 I-ARG0 I-ARG0 I-ARG0 I-ARG0 I-ARG0 I-ARG0 I-ARG0 I-ARG0 I-ARG0 I-ARG0 I-ARG0 I-ARG0 I-ARG0 I-ARG0 I-ARG0 B-V B-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 B-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 O
2 The telegram said that the Japanese troops were building blockade trenches and chessboard - like roads to divide the Jizhong base area into small isolated blocks without the ability to mutually communicate and support each other , causing the Eighth Route Army and the guerrillas to lose maneuverability . ||| B-ARG0 I-ARG0 B-V B-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 O
7 The telegram said that the Japanese troops were building blockade trenches and chessboard - like roads to divide the Jizhong base area into small isolated blocks without the ability to mutually communicate and support each other , causing the Eighth Route Army and the guerrillas to lose maneuverability . ||| O O O O O O O B-V O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
8 The telegram said that the Japanese troops were building blockade trenches and chessboard - like roads to divide the Jizhong base area into small isolated blocks without the ability to mutually communicate and support each other , causing the Eighth Route Army and the guerrillas to lose maneuverability . ||| O O O O B-ARG0 I-ARG0 I-ARG0 O B-V B-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 B-ARGM-PRP I-ARGM-PRP I-ARGM-PRP I-ARGM-PRP I-ARGM-PRP I-ARGM-PRP I-ARGM-PRP I-ARGM-PRP I-ARGM-PRP I-ARGM-PRP I-ARGM-PRP I-ARGM-PRP I-ARGM-PRP I-ARGM-PRP I-ARGM-PRP I-ARGM-PRP I-ARGM-PRP I-ARGM-PRP I-ARGM-PRP I-ARGM-PRP I-ARGM-PRP I-ARGM-PRP I-ARGM-PRP I-ARGM-PRP I-ARGM-PRP I-ARGM-PRP I-ARGM-PRP I-ARGM-PRP I-ARGM-PRP I-ARGM-PRP I-ARGM-PRP I-ARGM-PRP O
17 The telegram said that the Japanese troops were building blockade trenches and chessboard - like roads to divide the Jizhong base area into small isolated blocks without the ability to mutually communicate and support each other , causing the Eighth Route Army and the guerrillas to lose maneuverability . ||| O O O O B-ARG0 I-ARG0 I-ARG0 O O O O O O O O O O B-V B-ARG1 I-ARG1 I-ARG1 I-ARG1 B-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 O B-ARGM-ADV I-ARGM-ADV I-ARGM-ADV I-ARGM-ADV I-ARGM-ADV I-ARGM-ADV I-ARGM-ADV I-ARGM-ADV I-ARGM-ADV I-ARGM-ADV I-ARGM-ADV O
24 The telegram said that the Japanese troops were building blockade trenches and chessboard - like roads to divide the Jizhong base area into small isolated blocks without the ability to mutually communicate and support each other , causing the Eighth Route Army and the guerrillas to lose maneuverability . ||| O O O O O O O O O O O O O O O O O O O O O O O O B-V B-ARG1 O O O O O O O O O O O O O O O O O O O O O O O
31 The telegram said that the Japanese troops were building blockade trenches and chessboard - like roads to divide the Jizhong base area into small isolated blocks without the ability to mutually communicate and support each other , causing the Eighth Route Army and the guerrillas to lose maneuverability . ||| O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-ARGM-MNR B-V O O O O O O O O O O O O O O O O O
33 The telegram said that the Japanese troops were building blockade trenches and chessboard - like roads to divide the Jizhong base area into small isolated blocks without the ability to mutually communicate and support each other , causing the Eighth Route Army and the guerrillas to lose maneuverability . ||| O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-V B-ARG1 I-ARG1 O O O O O O O O O O O O O
37 The telegram said that the Japanese troops were building blockade trenches and chessboard - like roads to divide the Jizhong base area into small isolated blocks without the ability to mutually communicate and support each other , causing the Eighth Route Army and the guerrillas to lose maneuverability . ||| O O O O B-ARG0 I-ARG0 I-ARG0 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-V B-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 O
46 The telegram said that the Japanese troops were building blockade trenches and chessboard - like roads to divide the Jizhong base area into small isolated blocks without the ability to mutually communicate and support each other , causing the Eighth Route Army and the guerrillas to lose maneuverability . ||| O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-ARG0 I-ARG0 I-ARG0 I-ARG0 I-ARG0 I-ARG0 I-ARG0 O B-V B-ARG1 O
11 Before the Hundred Regiments Offensive in 1940 , an inclination to compromise , ah , surrender , was an extremely serious crisis in the frontline situation in China . ||| O O O O O O O O O O O B-V O O O O O O O O O O O O O O O O O
15 Before the Hundred Regiments Offensive in 1940 , an inclination to compromise , ah , surrender , was an extremely serious crisis in the frontline situation in China . ||| O O O O O O O O O O O O O B-ARGM-DIS O B-V O O O O O O O O O O O O O
17 Before the Hundred Regiments Offensive in 1940 , an inclination to compromise , ah , surrender , was an extremely serious crisis in the frontline situation in China . ||| B-ARGM-TMP I-ARGM-TMP I-ARGM-TMP I-ARGM-TMP I-ARGM-TMP I-ARGM-TMP I-ARGM-TMP O B-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 O B-V B-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 O
12 Well , on the battlefield behind enemy lines , in order to take over , consolidate the area under its occupation , Japan began a new strategy . ||| O O O O O O O O O O O O B-V O O O O O O O O O B-ARG0 O O O O O
15 Well , on the battlefield behind enemy lines , in order to take over , consolidate the area under its occupation , Japan began a new strategy . ||| O O O O O O O O O O O O O O O B-V B-ARG1 I-ARG1 B-ARGM-LOC I-ARGM-LOC I-ARGM-LOC O O O O O O O
20 Well , on the battlefield behind enemy lines , in order to take over , consolidate the area under its occupation , Japan began a new strategy . ||| O O O O O O O O O O O O O O O O O O O B-ARG0 B-V O O O O O O O
23 Well , on the battlefield behind enemy lines , in order to take over , consolidate the area under its occupation , Japan began a new strategy . ||| B-ARGM-DIS O B-ARGM-LOC I-ARGM-LOC I-ARGM-LOC I-ARGM-LOC I-ARGM-LOC I-ARGM-LOC O B-ARGM-PRP I-ARGM-PRP I-ARGM-PRP I-ARGM-PRP I-ARGM-PRP I-ARGM-PRP I-ARGM-PRP I-ARGM-PRP I-ARGM-PRP I-ARGM-PRP I-ARGM-PRP I-ARGM-PRP O B-ARG0 B-V B-ARG1 I-ARG1 I-ARG1 O
1 That was to use railways as a pillar , roads as a chain , and strongholds as a lock , to carry out siege warfare in an attempt to divide the base areas behind enemy lines , ah , so as , er , to cut off their communication with one another . ||| B-ARG1 B-V B-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 O
21 That was to use railways as a pillar , roads as a chain , and strongholds as a lock , to carry out siege warfare in an attempt to divide the base areas behind enemy lines , ah , so as , er , to cut off their communication with one another . ||| O O O O O O O O O O O O O O O O O O O O O B-V O B-ARG1 I-ARG1 B-ARGM-PRP I-ARGM-PRP I-ARGM-PRP I-ARGM-PRP I-ARGM-PRP I-ARGM-PRP I-ARGM-PRP I-ARGM-PRP I-ARGM-PRP I-ARGM-PRP I-ARGM-PRP I-ARGM-PRP I-ARGM-PRP I-ARGM-PRP I-ARGM-PRP I-ARGM-PRP I-ARGM-PRP I-ARGM-PRP I-ARGM-PRP I-ARGM-PRP I-ARGM-PRP I-ARGM-PRP I-ARGM-PRP I-ARGM-PRP I-ARGM-PRP I-ARGM-PRP I-ARGM-PRP O
29 That was to use railways as a pillar , roads as a chain , and strongholds as a lock , to carry out siege warfare in an attempt to divide the base areas behind enemy lines , ah , so as , er , to cut off their communication with one another . ||| O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-V B-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 O B-ARGM-DIS O B-ARGM-PRP I-ARGM-PRP I-ARGM-PRP I-ARGM-PRP I-ARGM-PRP I-ARGM-PRP I-ARGM-PRP I-ARGM-PRP I-ARGM-PRP I-ARGM-PRP I-ARGM-PRP I-ARGM-PRP I-ARGM-PRP O
45 That was to use railways as a pillar , roads as a chain , and strongholds as a lock , to carry out siege warfare in an attempt to divide the base areas behind enemy lines , ah , so as , er , to cut off their communication with one another . ||| O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-V O B-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 O
4 In addition , it relied on this cage , ah , to further strengthen its assaults against the base areas . ||| B-ARGM-DIS I-ARGM-DIS O B-ARG0 B-V B-ARG1 I-ARG1 I-ARG1 O B-ARGM-DIS O B-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 O
13 In addition , it relied on this cage , ah , to further strengthen its assaults against the base areas . ||| O O O B-ARG0 O O O O O O O O B-ARGM-ADV B-V B-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 O
3 So , it was amidst such a grave international and domestic situation that the Eighth Route Army led by the Chinese Communist Party , ah , launched , ah , a strategic offensive called the Hundred Regiments Offensive . ||| B-ARGM-DIS O O B-V B-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 B-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 O
17 So , it was amidst such a grave international and domestic situation that the Eighth Route Army led by the Chinese Communist Party , ah , launched , ah , a strategic offensive called the Hundred Regiments Offensive . ||| O O O O O O O O O O O O O B-ARG1 I-ARG1 I-ARG1 I-ARG1 B-V B-ARG0 I-ARG0 I-ARG0 I-ARG0 I-ARG0 O O O O O O O O O O O O O O O O
